t,pivotLx,pivotLy,pivotRx,pivotRy,bobx,boby
2.15,677,76,1176,78,1123,913
2.1666666666666665,677,76,1176,78,1122,913
2.183333333333333,677,76,1176,78,1122,913
2.2,677,76,1176,78,1122,913
2.216666666666667,677,77,1176,78,1123,913
2.2333333333333334,677,76,1175,78,1124,913
2.25,677,77,1176,78,1126,913
2.2666666666666666,677,77,1176,78,1127,913
2.283333333333333,677,77,1175,78,1131,913
2.3,677,77,1176,78,1133,913
2.316666666666667,677,77,1175,78,1137,913
2.3333333333333335,677,77,1175,78,1141,914
2.35,677,77,1176,78,1145,914
2.3666666666666667,675,77,1175,78,1149,914
2.3833333333333333,677,77,1176,78,1155,914
2.4,677,77,1176,78,1159,914
2.4166666666666665,677,77,1175,78,1165,915
2.433333333333333,677,77,1176,78,1170,915
2.45,677,77,1175,78,1175,914
2.466666666666667,677,77,1176,78,1181,915
2.4833333333333334,677,77,1176,78,1186,915
2.5,676,77,1175,78,1192,915
2.5166666666666666,677,77,1176,78,1197,914
2.533333333333333,677,77,1175,78,1202,914
2.55,676,77,1175,78,1208,914
2.566666666666667,677,77,1176,78,1213,914
2.5833333333333335,676,77,1175,78,1217,913
2.6,676,77,1175,78,1222,913
2.6166666666666667,677,77,1175,78,1225,913
2.6333333333333333,675,77,1175,78,1229,913
2.65,676,77,1175,78,1232,913
2.6666666666666665,675,77,1175,78,1235,913
2.683333333333333,675,77,1175,78,1237,912
2.7,677,78,1175,78,1239,912
2.716666666666667,675,77,1175,78,1240,912
2.7333333333333334,675,77,1175,78,1242,912
2.75,675,78,1175,78,1242,912
2.7666666666666666,675,78,1175,78,1242,912
2.783333333333333,675,78,1175,78,1241,912
2.8,675,78,1175,78,1240,912
2.816666666666667,675,78,1175,78,1238,912
2.8333333333333335,675,78,1175,78,1236,913
2.85,675,78,1175,78,1233,913
2.8666666666666667,675,78,1175,78,1231,913
2.8833333333333333,675,78,1175,79,1227,913
2.9,675,78,1175,79,1223,913
2.9166666666666665,675,78,1175,79,1220,914
2.933333333333333,675,78,1175,79,1214,914
2.95,675,78,1175,79,1210,914
2.966666666666667,675,78,1175,79,1205,915
2.9833333333333334,675,78,1175,79,1199,915
3.0,675,78,1175,79,1194,915
3.0166666666666666,675,78,1175,79,1189,915
3.033333333333333,675,78,1175,79,1183,915
3.05,675,78,1175,79,1178,915
3.066666666666667,675,78,1175,79,1172,915
3.0833333333333335,675,78,1175,79,1167,915
3.1,675,78,1175,79,1161,915
3.1166666666666667,675,78,1175,79,1157,915
3.1333333333333333,675,78,1175,79,1151,915
